"Series Description","BOND BUYER GO 20-BOND MUNICIPAL BOND INDEX"
"Unit:","Percent:_Per_Year"
"Multiplier:","1"
"Currency:","NA"
"Unique Identifier: ","H15/discontinued/RIBLGNG20_N.M"
"Time Period","RIBLGNG20_N.M"
1953-01,2.44
1953-02,2.59
1953-03,2.65
1953-04,2.67
1953-05,2.82
1953-06,3.03
1953-07,2.95
1953-08,2.90
1953-09,2.87
1953-10,2.71
1953-11,2.60
1953-12,2.59
1954-01,2.50
1954-02,2.42
1954-03,2.39
1954-04,2.47
1954-05,2.49
1954-06,2.47
1954-07,2.32
1954-08,2.26
1954-09,2.31
1954-10,2.34
1954-11,2.32
1954-12,2.36
1955-01,2.40
1955-02,2.43
1955-03,2.44
1955-04,2.41
1955-05,2.38
1955-06,2.41
1955-07,2.54
1955-08,2.60
1955-09,2.58
1955-10,2.51
1955-11,2.45
1955-12,2.57
1956-01,2.50
1956-02,2.44
1956-03,2.57
1956-04,2.70
1956-05,2.68
1956-06,2.54
1956-07,2.65
1956-08,2.80
1956-09,2.93
1956-10,2.95
1956-11,3.16
1956-12,3.22
1957-01,3.18
1957-02,3.00
1957-03,3.09
1957-04,3.13
1957-05,3.27
1957-06,3.41
1957-07,3.39
1957-08,3.54
1957-09,3.53
1957-10,3.42
1957-11,3.37
1957-12,3.04
1958-01,2.91
1958-02,3.02
1958-03,3.06
1958-04,2.96
1958-05,2.92
1958-06,2.97
1958-07,3.09
1958-08,3.35
1958-09,3.54
1958-10,3.45
1958-11,3.32
1958-12,3.33
1959-01,3.42
1959-02,3.36
1959-03,3.30
1959-04,3.39
1959-05,3.57
1959-06,3.71
1959-07,3.71
1959-08,3.58
1959-09,3.78
1959-10,3.62
1959-11,3.55
1959-12,3.70
1960-01,3.72
1960-02,3.60
1960-03,3.57
1960-04,3.56
1960-05,3.60
1960-06,3.55
1960-07,3.50
1960-08,3.33
1960-09,3.42
1960-10,3.53
1960-11,3.40
1960-12,3.40
1961-01,3.39
1961-02,3.31
1961-03,3.45
1961-04,3.48
1961-05,3.43
1961-06,3.52
1961-07,3.51
1961-08,3.52
1961-09,3.53
1961-10,3.42
1961-11,3.41
1961-12,3.47
1962-01,3.34
1962-02,3.21
1962-03,3.14
1962-04,3.06
1962-05,3.11
1962-06,3.25
1962-07,3.27
1962-08,3.23
1962-09,3.11
1962-10,3.02
1962-11,3.04
1962-12,3.07
1963-01,3.10
1963-02,3.15
1963-03,3.05
1963-04,3.10
1963-05,3.11
1963-06,3.21
1963-07,3.22
1963-08,3.13
1963-09,3.20
1963-10,3.20
1963-11,3.30
1963-12,3.27
1964-01,3.22
1964-02,3.14
1964-03,3.28
1964-04,3.28
1964-05,3.20
1964-06,3.20
1964-07,3.18
1964-08,3.19
1964-09,3.23
1964-10,3.25
1964-11,3.18
1964-12,3.13
1965-01,3.06
1965-02,3.09
1965-03,3.17
1965-04,3.15
1965-05,3.17
1965-06,3.24
1965-07,3.27
1965-08,3.24
1965-09,3.35
1965-10,3.40
1965-11,3.45
1965-12,3.54
1966-01,3.52
1966-02,3.64
1966-03,3.72
1966-04,3.56
1966-05,3.65
1966-06,3.77
1966-07,3.95
1966-08,4.12
1966-09,4.12
1966-10,3.93
1966-11,3.86
1966-12,3.86
1967-01,3.54
1967-02,3.52
1967-03,3.55
1967-04,3.60
1967-05,3.89
1967-06,3.96
1967-07,4.02
1967-08,3.99
1967-09,4.12
1967-10,4.29
1967-11,4.34
1967-12,4.43
1968-01,4.29
1968-02,4.31
1968-03,4.54
1968-04,4.34
1968-05,4.54
1968-06,4.49
1968-07,4.33
1968-08,4.21
1968-09,4.38
1968-10,4.49
1968-11,4.60
1968-12,4.82
1969-01,4.85
1969-02,4.98
1969-03,5.26
1969-04,5.19
1969-05,5.33
1969-06,5.75
1969-07,5.75
1969-08,6.00
1969-09,6.26
1969-10,6.09
1969-11,6.30
1969-12,6.82
1970-01,6.63
1970-02,6.22
1970-03,6.05
1970-04,6.65
1970-05,7.00
1970-06,6.93
1970-07,6.42
1970-08,6.17
1970-09,6.31
1970-10,6.37
1970-11,5.71
1970-12,5.47
1971-01,5.35
1971-02,5.23
1971-03,5.17
1971-04,5.37
1971-05,5.90
1971-06,5.95
1971-07,6.06
1971-08,5.82
1971-09,5.37
1971-10,5.06
1971-11,5.20
1971-12,5.21
1972-01,5.12
1972-02,5.28
1972-03,5.31
