"Series Description","Nonfinancial corporate business; municipal securities; liability","Nonfinancial corporate business; municipal securities; liability","Nonfinancial corporate business; corporate bonds; liability","Nonfinancial corporate business; corporate bonds; liability","Nonfinancial corporate business; corporate bonds; liability","Nonfinancial corporate business; corporate equities; liability","Nonfinancial corporate business; corporate equities; liability","Nonfinancial corporate business; total financial assets","Nonfinancial corporate business; total financial assets","Nonfinancial corporate business; total liabilities","Nonfinancial corporate business; total liabilities","Nonfinancial corporate business; gross fixed investment, nonresidential structures, equipment, and intellectual property products"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","Z1/Z1/FL103162000.Q","Z1/Z1/FA103162000.Q","Z1/Z1/FL103163003.Q","Z1/Z1/FA103163003.Q","Z1/Z1/FU103163003.Q","Z1/Z1/FL103164103.Q","Z1/Z1/FU103164103.Q","Z1/Z1/FL104090005.Q","Z1/Z1/FU104090005.Q","Z1/Z1/FL104190005.Q","Z1/Z1/FU104190005.Q","Z1/Z1/FU105013005.Q"
"Time Period","FL103162000.Q","FA103162000.Q","FL103163003.Q","FA103163003.Q","FU103163003.Q","FL103164103.Q","FU103164103.Q","FL104090005.Q","FU104090005.Q","FL104190005.Q","FU104190005.Q","FU105013005.Q"
"1945Q4",0,,23905,,,103694,,68936.4,,70344.9,,
"1946Q1","ND",,"ND",,,"ND",,"ND",,"ND",,
"1946Q2","ND",,"ND",,,"ND",,"ND",,"ND",,
"1946Q3","ND",,"ND",,,"ND",,"ND",,"ND",,
"1946Q4",0,0,24858,953,953,97302,1018,67344,-1592,80331,11140,13306
"1947Q1","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
"1947Q2","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
"1947Q3","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
"1947Q4",0,0,27671,2813,2813,95116,1093,76067,8753,93182,14108,17213
"1948Q1","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
